"Município";"Exercício";"Semestre";"Função de Governo";"Órgão Contratante";"Denominação/Destinação da Obra";"Endereço da Obra";"PPA (previsão)";"LDO (previsão)";"Meta Física Anual/Atendimento da População";"Valor Inicial Previsto";"Valor Total Contratado";"Nome da Empresa Contratada";"Data de Início da Obra";"V. Total dos Termos Aditivos";"Reajuste/Revisão do Contrato em %";"Nível de Execução Física";"Valor Total Pago";"Data Prevista para Conclusão";"Situação da Obra";"Data do Recebimento Definitivo";"Nome do Servidor Responsável";"Observações"
"Adamantina";"2015";"1";"Urb./Habitação";"Prefeitura do Município de Adamantina";"Reforma do Terminal Rodoviário";"Terminal Rodoviário";"sim";"sim";"33.000";"R$ 164.404,17 ";"R$ 154.539,92 ";"CONSTRUTORA LAIS LTDA";"17/12/2010";"R$ 0,00 ";"0,00%";"100%";"R$ 154.539,92 ";"31/05/2012";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Agricultura";"Prefeitura do Município de Adamantina";"Ampliação do Barracão de Agronegócios";"Rua Walter Menechin";"sim";"sim";"15.000";"R$ 294.262,26 ";"R$ 142.930,11 ";"CONSTRULIX-CONSTRUÇÃO,IND.COM.E SERV.";"03/08/2011";"R$ 0,00 ";"0,00%";"100%";"R$ 142.930,11 ";"05/06/2012";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Assistência Social";"Prefeitura do Município de Adamantina";"Construção do CCJ";"Rua Osvaldo Cruz";"sim";"sim";"5.000";"R$ 105.602,57 ";"R$ 105.602,57 ";"GADU SANEAMENTO LTDA";"18/04/2011";"R$ 12.508,22 ";"0,00%";"100%";"R$ 118.110,79 ";"31/12/2013";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Desporto e Lazer";"Prefeitura do Município de Adamantina";"Construção de Campo de Malha e Bocha";"Campo de Malha e Bocha no Pq.das Alamadas";"sim";"sim";"1.000";"R$ 192.036,16 ";"R$ 190.600,00 ";"CONSTRUTORA ROTOLI LTDA";"05/12/2011";"R$ 26.192,44 ";"0,00%";"100%";"R$ 216.792,44 ";"03/07/2012";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Desporto e Lazer";"Prefeitura do Município de Adamantina";"Ampliação do Ginásio Paulo de Camargo";"Via de Acesso Marginal Castelo Branco";"sim";"sim";"33.000";"R$ 227.326,17 ";"R$ 227.326,17 ";"GADU SANEAMENTO LTDA";"18/04/2011";"R$ 0,00 ";"0,00%";"15%";"R$ 0,00 ";"31/12/2013";"Outros";"";"Celso Kobori";"Cancelado o convênio/Devolução do Dinheiro"
"Adamantina";"2015";"1";"Administração";"Prefeitura do Município de Adamantina";"Construção da Sede da DDM";"Sede da DDM";"sim";"sim";"33.000";"R$ 601.679,31 ";"R$ 506.900,00 ";"PONTAL ENGENHARIA CONST.COM.LTDA ";"04/11/2010";"R$ 0,00 ";"0,00%";"100%";"R$ 506.900,00 ";"31/05/2012";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Administração";"Prefeitura do Município de Adamantina";"Construção do Batalhão da Polícia Militar";"Rua Josefina D´all Antonia Tiveron";"sim";"sim";"33.000";"R$ 799.724,82 ";"R$ 615.787,50 ";"CONSTRUTORA LAIS LTDA";"16/06/2010";"R$ 101.009,64 ";"0,00%";"100%";"R$ 716.797,14 ";"30/04/2012";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Cultura ";"Prefeitura do Município de Adamantina";"Reforma da Biblioteca Municipal";"Av.Adhemar de Barros";"sim";"sim";"33.000";"R$ 257.810,68 ";"R$ 236.954,91 ";"NSC TECNOLOGIA E CONSTRUÇÕES LTDA-EPP";"01/04/2012";"R$ 65.107,86 ";"0,00%";"100%";"R$ 268.710,46 ";"31/12/2014";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Assistência Social";"Prefeitura do Município de Adamantina";"Construção de Centro Comunitário do Jd.Bela Vista";"C.Comunitário Jd.Bela Vista";"sim";"sim";"5.000";"R$ 258.537,11 ";"R$ 237.800,00 ";"LICORIO & LICORIO CONTRUÇÕES LTDA-ME";"20/12/2011";"R$ 0,00 ";"0,00%";"100%";"R$ 237.800,00 ";"30/06/2012";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Assistência Social";"Prefeitura do Município de Adamantina";"Construção de Centro Comunitário do Jd.Oiti";"C.Comunitário Jd.Oiti";"sim";"sim";"5.000";"R$ 258.537,11 ";"R$ 247.837,05 ";"LICORIO & LICORIO CONTRUÇÕES LTDA-ME";"30/09/2011";"R$ 0,00 ";"0,00%";"100%";"R$ 247.837,05 ";"31/05/2012";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Construção de PSF no Jardim Brasil";"PSF Jardim Brasil";"sim";"sim";"1.000";"R$ 275.057,63 ";"";"";"30/06/2010";"R$ 0,00 ";"0,00%";"";"";"31/12/2015";"Em andamento";"";"Celso Kobori";"Em Processo Licitatório"
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Construção de PSF na Estância Dorigo";"PSF Estância Dorigo";"sim";"sim";"1.000";"R$ 156.440,22 ";"R$ 154.728,12 ";"CONSTRUTORA ROTOLI LTDA";"01/07/2012";"R$ 28.301,68 ";"0,00%";"100%";"R$ 183.029,80 ";"31/12/2013";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Educação";"Prefeitura do Município de Adamantina";"Construção de uma Creche no Jardim Bela Vista";"Rua Diego Garcia Moralles";"sim";"sim";"2.000";"R$ 293.483,17 ";"R$ 281.505,48 ";"NSC TECNOLOGIA E CONSTRUÇÕES LTDA-EPP";"20/05/2012";"R$ 22.999,56 ";"0,00%";"100%";"R$ 304.505,04 ";"31/12/2013";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Educação";"Prefeitura do Município de Adamantina";"Construção de uma Creche no Parque Itaipus";"Rua 7, esquina com Av.Rio Branco";"sim";"sim";"3.000";"R$ 478.455,73 ";"R$ 438.445,48 ";"KAENE CONSTRUTORA LTDA";"16/01/2009";"R$ 56.598,53 ";"0,00%";"100%";"R$ 495.044,01 ";"30/09/2012";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Construção de uma unidade pronto atendimento (UPA)";"Rua Josefina D´all Antonia Tiveron";"sim";"sim";"33.000";"R$ 1.255.102,21 ";"R$ 1.076.250,12 ";"CONSTRUTORA LAIS LTDA";"27/05/2011";"R$ 267.055,80 ";"0,00%";"100%";"R$ 1.343.305,92 ";"30/06/2013";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Saneamento";"Prefeitura do Município de Adamantina";"Canalização do Córrego Caldeira - Trecho VI";"Corrego Caldeira";"sim";"sim";"5.000";"R$ 499.000,00 ";"R$ 413.174,86 ";"CONSTRULIX-CONSTRUÇÃO,IND.COM.E SERV.";"01/06/2011";"R$ 64.685,03 ";"0,00%";"100%";"R$ 477.859,89 ";"31/12/2013";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Agricultura";"Prefeitura do Município de Adamantina";"Construção de estrutura para pontes metálicas";"Construção de pilares para pontes metálicas sobre o C.Tocantins";"sim";"sim";"1.000";"R$ 98.394,58 ";"R$ 94.458,58 ";"CONSTRUTORA LAIS LTDA";"17/12/2010";"R$ 23.594,75 ";"0,00%";"100%";"R$ 118.053,33 ";"31/03/2012";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Construção de Academia da Saúde";"Rua Professora Noêmia Bueno Valle, Área Inst. 3 - Pq Cecap";"sim";"sim";"";"R$ 196.303,22 ";"R$ 196.303,22 ";"CONSTRUTORA ROTOLI LTDA";"01/11/2014";"R$ 0,00 ";"0,00%";"50%";"R$ 97.170,09 ";"31/12/2015";"Em andamento";"";"Rodrigo Martins Gumiero";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Construção de ESF no Parque Cecap";"Rua Professora Noêmia Bueno Valle, Pq Cecap";"sim";"sim";"";"R$ 293.129,87 ";"R$ 292.741,66 ";"CONSTRULIX-CONSTRUÇÃO,IND.COM.E SERV.";"24/11/2014";"R$ 0,00 ";"0,00%";"28%";"R$ 82.076,44 ";"31/12/2015";"Em andamento";"";"Rodrigo Martins Gumiero";""
"Adamantina";"2015";"1";"Desporto e Lazer";"Prefeitura do Município de Adamantina";"Construção de Quadra Poliesportiva";"Av. Marechal Castelo Branco. Q 44, Vila Jamil de Lima";"sim";"sim";"5.000";"R$ 463.526,48 ";"R$ 366.371,98 ";"ESMEBRA, CONSTRUÇÃO CIVIL LTDA EPP";"01/09/2013";"R$ 90.495,09 ";"0,00%";"100%";"R$ 456.867,07 ";"31/12/2014";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Urb./Habitação";"Prefeitura do Município de Adamantina";"Recapeamento ";"Av. Marechal Castelo Branco";"sim";"sim";"33.000";"R$ 356.467,80 ";"R$ 356.467,80 ";"SOLIS & SOLIS ";"01/01/2014";"R$ 0,00 ";"0,00%";"100%";"R$ 356.467,80 ";"31/12/2014";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Educação";"Prefeitura do Município de Adamantina";"Cobertura de Quadra Poliesportiva";"Praça Tiradentes, Quadra 68, Lotes 3 e 4";"sim";"sim";"6.000";"R$ 184.535,15 ";"R$ 170.600,00 ";"CONSTRUTORA ROTOLI LTDA";"01/10/2014";"R$ 0,00 ";"0,00%";"75%";"R$ 128.042,46 ";"31/12/2015";"Em andamento";"";"Rodrigo Martins Gumiero";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Ampliação PAS I";"Rua Nove de Julho, esq c/ al. Dona maria candido romanini, Centro";"sim";"sim";"6.000";"R$ 99.780,24 ";"R$ 99.780,24 ";"EMDA - Empresa Municipal de Desenvolvimento de Adamantina";"05/06/2013";"R$ 0,00 ";"0,00%";"100%";"R$ 99.780,24 ";"01/06/2015";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Ampliação PAS II";"Al. Das Margaridas esq. c/ rua Paul Harris l 6, Q 22 - Vila Jardim";"sim";"sim";"6.000";"R$ 116.300,25 ";"R$ 116.300,25 ";"EMDA - Empresa Municipal de Desenvolvimento de Adamantina";"05/06/2013";"R$ 0,00 ";"0,00%";"100%";"R$ 116.300,25 ";"01/06/2015";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Ampliação PAS III";"Rua João Perroni L 24 e 25, Q 14, Jardim Adamantina";"sim";"sim";"6.000";"R$ 160.766,70 ";"R$ 160.766,70 ";"EMDA - Empresa Municipal de Desenvolvimento de Adamantina";"05/06/2013";"R$ 0,00 ";"0,00%";"34%";"R$ 55.367,42 ";"31/12/2015";"Em andamento";"";"Rodrigo Martins Gumiero";""
"Adamantina";"2015";"1";"Educação";"Prefeitura do Município de Adamantina";"Pintura Creche Pequeno Principe";"Rua Joaquim Nabuco, esq c/ Al. Santa Cruz";"sim";"sim";"5.000";"R$ 70.312,26 ";"R$ 70.000,00 ";"RS SEPULVIDA & COSTA PEREIRA LTDA - ME";"06/03/2014";"R$ 0,00 ";"0,00%";"100%";"R$ 70.000,00 ";"30/06/2014";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Transporte";"Prefeitura do Município de Adamantina";"Qualificação de vias públicas urbanas através de pav. Asfáltica e const de galerias tipo aduela em conc armado";"Diversos bairros do municipio";"sim";"sim";"";"R$ 1.227.776,93 ";"";"";"";"";"";"";"";"";"Outros";"";"Rodrigo Martins Gumiero";"Em Processo Licitatório"
"Adamantina";"2015";"1";"Transporte";"Prefeitura do Município de Adamantina";"Recapeamento";"Av.da Saudade, Al. Padre Nóbrega e Rua Massumi Kawono";"sim";"sim";"";"R$ 258.849,55 ";"";"";"";"";"";"";"";"";"Outros";"";"Rodrigo Martins Gumiero";"Em Processo Licitatório"
"Adamantina";"2015";"1";"Transporte";"Prefeitura do Município de Adamantina";"Recapeamento";"Av. Deputado Cunha Bueno e AV. Rio Branco";"sim";"sim";"";"R$ 246.631,60 ";"";"";"";"";"";"";"";"";"Outros";"";"Rodrigo Martins Gumiero";"Em Processo Licitatório"
"Adamantina";"2015";"1";"Desporto e Lazer";"Prefeitura do Município de Adamantina";"Instalação de Sistema de Combate a Incendio - Hidrante";"Av. Marechal Castelo Branco - Ginásio de Esp. Paulo Camargo";"sim";"sim";"";"R$ 38.000,00 ";"R$ 38.000,00 ";"SILVA & SILVA MALDONADO EXTINTORES LTDA-ME";"02/06/2015";"";"";"";"";"";"Em andamento";"";"Rodrigo Martins Gumiero";""
"Adamantina";"2015";"1";"Urb./Habitação";"Prefeitura do Município de Adamantina";"Implantação de Ciclovia";"Al. Francisco José de Azevedo, Pq dos Pioneiros";"sim";"sim";"";"R$ 67.407,40 ";"";"";"";"";"";"";"";"";"Outros";"";"Rodrigo Martins Gumiero";"Aguardando aprovação Sec Habitação"
"Adamantina";"2015";"1";"Desporto e Lazer";"Prefeitura do Município de Adamantina";"Implantação e Modern. De Infr. p/ o esporte educacional, recreativo e de lazer";"Diversos bairros do municipio";"sim";"sim";"";"R$ 100.666,00 ";"";"";"";"";"";"";"";"";"Outros";"";"Rodrigo Martins Gumiero";"Em Processo Licitatório"
"Adamantina";"2015";"1";"Desporto e Lazer";"Prefeitura do Município de Adamantina";"Implantação e Modernização de Infraestrutura Esportiva, Const de sanit. E vest.";"Av. Dep. Cunha Bueno (pq dos caldeiras) e Rua Joao Caldeira (jardim adamantina)";"sim";"sim";"";"R$ 346.240,13 ";"";"CONSTRUTORA ROTOLI LTDA";"";"";"";"";"";"";"Contratada sem Ordem de Início de Serviços";"";"Rodrigo Martins Gumiero";"Aguardando para emissao de Ordem de Serviço"
"Adamantina";"2015";"1";"Desporto e Lazer";"Prefeitura do Município de Adamantina";"Implantação de Praça de Eventos, Construção de BHO, Arq e Alambrados";"Al. Francisco José de Azevedo, Pq dos Pioneiros";"sim";"sim";"";"R$ 366.443,83 ";"";"CONSTRUTORA ROTOLI LTDA";"";"";"";"";"";"";"Contratada sem Ordem de Início de Serviços";"";"Rodrigo Martins Gumiero";"Aguardando para emissao de Ordem de Serviço"
"Adamantina";"2015";"1";"Transporte";"Prefeitura do Município de Adamantina";"Recapeamento";"Vila Jardim, Jardim Oriente e Vila Jamil de Lima";"sim";"sim";"";"R$ 508.669,86 ";"";"";"";"";"";"";"";"";"Outros";"";"Rodrigo Martins Gumiero";"Em Processo Licitatório"
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Serviços Complementares da Construção do UPA";"Rua Josefina D´all Antonia Tiveron";"sim";"sim";"";"R$ 204.723,76 ";"";"";"";"";"";"";"";"";"Contratada sem Ordem de Início de Serviços";"";"Rodrigo Martins Gumiero";"Aguardando para emissao de Ordem de Serviço"
"Adamantina";"2015";"1";"Urb./Habitação";"Prefeitura do Município de Adamantina";"Recapeamento";"Diversas Ruas do Bairro Jardim das Primaveras";"sim";"sim";"";"R$ 212.587,72 ";"";"";"";"R$ 0,00 ";"0,00%";"0%";"R$ 0,00 ";"";"Outros";"";"Rodrigo Martins Gumiero";"Em Processo Licitatório"
"Adamantina";"2015";"1";"Urb./Habitação";"Prefeitura do Município de Adamantina";"Recapeamento";"Av. Adhemar de Barros e AV. da Saudade";"sim";"sim";"33.000";"R$ 301.475,00 ";"R$ 300.004,50 ";"GP PAVIMENTAÇÃO LTDA";"";"R$ 0,00 ";"0,00%";"50%";"R$ 149.096,79 ";"";"Em andamento";"";"Rodrigo Martins Gumiero";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Reforma do Centro de Saúde I de Adamantina";"Av. Vitório Romanini, esq. c/ Rua Arno Kieffer";"sim";"sim";"";"R$ 216.000,00 ";"R$ 214.712,37 ";"EMDA - Empresa Municipal de Desenvolvimento de Adamantina";"01/10/2014";"R$ 0,00 ";"0,00%";"15%";"R$ 33.250,96 ";"31/12/2015";"Em andamento";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Transporte";"Prefeitura do Município de Adamantina";"""Construção de Ponte carga """"trem tipo 45""""""";"Estr. Geraldo Jordão - ADM 267, Córrego dos Ranchos, Bairro Alto da Boa Vista";"sim";"sim";"";"R$ 449.484,03 ";"";"CONSTRULIX-CONSTRUÇÃO,IND.COM.E SERV.";"";"R$ 0,00 ";"0,00%";"0%";"R$ 0,00 ";"";"Contratada sem Ordem de Início de Serviços";"";"Rodrigo Martins Gumiero";"Aguardando Liberação da Defesa Civil para emissao de Ordem de Serviço"
"Adamantina";"2015";"1";"Educação";"Prefeitura do Município de Adamantina";"Const. De Muro e Mureta c/ Alambr na Creche Proinfancia";"Rua Dona Josefina Dal'Antonia Tiveron, Centro ";"sim";"sim";"";"R$ 80.645,31 ";"R$ 80.645,31 ";"CONSTRUTORA ROTOLI LTDA";"01/12/2014";"R$ 10.754,42 ";"0,00%";"100%";"R$ 91.399,73 ";"01/06/2015";"Concluída";"";"Rodrigo Martins Gumiero";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"UBS Mário Covas";"Rua Antonio Pires Ribeiro, Lote 17, Quadra D, Cj. Hab. Gov. Mario Covas Jr.";"sim";"sim";"";"R$ 660.261,05 ";"R$ 659.690,03 ";"CONSTRULIX-CONSTRUÇÃO,IND.COM.E SERV.";"01/10/2014";"R$ 0,00 ";"0,00%";"17%";"R$ 111.663,57 ";"31/12/2015";"Em andamento";"";"Rodrigo Martins Gumiero";""
"Adolfo";"2015";"1";"Agricultura";"PREFEITURA MUNICIPAL DE ADOLFO";"CONSTRUÇÃO DE OBRAS DE COBERTURA DO RECINTO DE EXPOSIÇÃO";"AVENIDA CASTRO ALVES ";"sim";"sim";"100";"R$ 426.052,99 ";"R$ 426.052,99 ";"LABORE SERVIÇOS E CONSTRUÇÃO L";"14/05/2014";"R$ 0,00 ";"0,00%";"100%";"R$ 426.052,99 ";"30/06/2015";"Em andamento";"";"MAURO CESAR ROMERA";"Prazo de vigência deste contrato será de 12(doze) meses."
"Adolfo";"2015";"1";"Saúde";"PREFEITURA MUNICIPAL DE ADOLFO";"REFORMA E AMPLIANÇÃO DO CENTRO DE SAUDE DE ADOLFO";"RUA MANUEL CARLOS FIGUEIREDO FERRAZ";"sim";"sim";"100";"R$ 216.185,07 ";"R$ 216.185,07 ";"CONSTRUTORA M. LUCAS & F. OLIVEIRA LTDA - EPP";"13/05/2014";"R$ 0,00 ";"0,00%";"80%";"R$ 173.600,00 ";"31/12/2015";"Em andamento";"";"MAURO CESAR ROMERA";"Prazo de vigência deste contrato será de 12(doze) meses."
"Adolfo";"2015";"1";"Desporto e Lazer";"PREFEITURA MUNICIPAL DE ADOLFO";"CONST.DE SANITÁRIOS PÚBLICOS NO PARQUE JERICÓ";"AVENIDA MARINO CELOTO";"sim";"sim";"100";"R$ 64.987,82 ";"R$ 64.987,82 ";"ENGENIL DE NIPOÃ ENG.COM.CONS.CIVIL";"04/07/2014";"R$ 0,00 ";"0,00%";"75%";"R$ 45.831,58 ";"04/01/2015";"Em andamento";"";"MAURO CESAR ROMERA";"Prazo de vigência deste contrato será de 12(doze) meses."
"Adolfo";"2015";"1";"Saúde";"PREFEITURA MUNICIPAL DE ADOLFO";"CONSTRUÇÃO DE UMA UNIDADE BÁSICA DE SAÚDE";"AVENIDA RAFAEL FEREIRA FORTE";"sim";"sim";"100";"R$ 415.492,96 ";"R$ 415.492,96 ";"CONSTRUTORA M. LUCAS & F. OLIVEIRA LTDA - EPP";"13/10/2014";"R$ 0,00 ";"0,00%";"19%";"R$ 77.408,18 ";"13/02/2015";"Em andamento";"";"MAURO CESAR ROMERA";"Prazo de vigência deste contrato será de 12(doze) meses."
"Adolfo";"2015";"1";"Urb./Habitação";"PREFEITURA MUNICIPAL DE ADOLFO";"REFORMA E AMPLIAÇÃO DO VELÓRIO MUNICIPAL";"AVENIDA MARINO CELOTO";"sim";"sim";"100";"R$ 142.096,45 ";"R$ 142.096,45 ";"ENGENIL DE NIPOÃ ENG.COM.CONS.CIVIL";"04/07/2014";"R$ 0,00 ";"0,00%";"90%";"R$ 139.858,75 ";"04/01/2015";"Em andamento";"";"MAURO CESAR ROMERA";"Prazo de vigência deste contrato será de 12(doze) meses."
"Adolfo";"2015";"1";"Educação";"PREFEITURA MUNICIPAL DE ADOLFO";"CONSTRUÇÃO DA CRECHE CONTRATO DE REPASSE 50/2014";"RUA PRINCESA ISSABEL ";"sim";"sim";"100";"R$ 1.629.516,61 ";"R$ 1.629.516,61 ";"ENGENIL DE NIPOÃ ENG.COM.CONS.CIVIL";"27/05/2014";"R$ 0,00 ";"0,00%";"65%";"R$ 571.093,47 ";"31/12/2015";"Em andamento";"";"MAURO CESAR ROMERA";"Prazo de vigência deste contrato será de 12(doze) meses."
"Aguaí";"2015";"1";"Saúde";"Prefeitura Municipal de Aguaí";"Construção de Hospital Municipal";"Rua Alexandrino de Alencar, n° 127";"sim";"sim";"Construção de 3.031,95 m² para atendimento de toda a população do mu";"R$ 6.000.000,00 ";"";"Obra executada por administração direta";"01/04/2014";"";"";"60%";"R$ 434.274,69 ";"30/12/2016";"Em andamento";"30/12/2016";"Homero Cirineu Evangelista";""
"Aguaí";"2015";"1";"Urb./Habitação";"Prefeitura Municipal de Aguaí";"Construção de Unidades Habitacionais";"Bairro Parque Miguelito";"sim";"sim";"Construção de 125 casas de 50,25 m² para atendimento de famílias car";"R$ 5.000.000,00 ";"";"Obra executada por administração direta";"01/01/2014";"";"";"40%";"R$ 749.109,51 ";"30/12/2016";"Parada / Falta de Recursos";"30/12/2016";"Homero Cirineu Evangelista";""
"Aguaí";"2015";"1";"Educação";"Prefeitura Municipal de Aguaí";"Creche Municipal Parque Miquelito";"Rua Candinho Rocha, esquina com Milton José Cezar Rezende";"sim";"sim";"Construção 813,78 m² para 150 Crianças";"R$ 1.350.000,00 ";"R$ 1.345.640,24 ";"Kitano Construções Ltda";"";"";"";"0%";"R$ 0,00 ";"";"Contratada sem Ordem de Início de Serviços";"";"Homero Cirineu Evangelista";"CONTRATO Nº. 022/2015 TOMADA DE PREÇOS Nº. 001/2015"
"Águas da Prata";"2015";"1";"Urb./Habitação";"PREFEITURA DA EST.HIDROM. DE ÁGUAS DA PRATA";"Desmonte de afloramento rochoso ";"Rua Dr. Brandão s,nº - centro, area urbana";"sim";"sim";"    50 Pessoas";"R$ 18.000,00 ";"R$ 18.000,00 ";"Prós Pisos Construção Ltda";"01/07/2010";"R$ 0,00 ";"0,00%";"100%";"R$ 18.000,00 ";"16/08/2010";"Concluída";"";"José Expedito Lucas Silva";"Obra concluida"
